Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Valence,Arousal,Emotional Component
1,12,1.2,10.8,Reject,-0.8,0.31,-1,2,-2
2,15,5.25,9.75,Accept,3.25,0.96,-1,2,-2
3,12,3.0,9.0,Accept,1.0,0.73,-1,2,-2
8,9,4.5,4.5,Accept,4.5,0.99,0,0,0
9,9,2.25,6.75,Reject,0.25,0.56,-1,2,-2
12,15,6.0,9.0,Accept,4.0,0.98,-1,2,-2
13,18,9.0,9.0,Accept,9.0,1.0,0,0,0
15,9,2.25,6.75,Accept,0.25,0.56,-1,2,-2
17,12,2.4,9.6,Accept,0.4,0.6,-1,2,-2
18,18,5.4,12.6,Reject,3.4,0.97,-1,2,-2
19,9,2.7,6.3,Accept,0.7,0.67,-1,2,-2
20,15,5.25,9.75,Accept,3.25,0.96,-1,2,-2
21,15,1.5,13.5,Accept,-0.5,0.38,-1,2,-2
24,15,3.0,12.0,Accept,1.0,0.73,-1,2,-2
25,9,2.7,6.3,Accept,0.7,0.67,-1,2,-2
26,15,5.25,9.75,Accept,3.25,0.96,-1,2,-2
27,6,2.4,3.6,Reject,0.4,0.6,-1,2,-2
28,9,3.6,5.4,Accept,1.6,0.83,-1,2,-2
29,9,1.8,7.2,Reject,-0.2,0.45,-1,2,-2
30,9,2.7,6.3,Accept,0.7,0.67,-1,2,-2
31,9,4.5,4.5,Accept,4.5,0.99,0,0,0
33,15,3.75,11.25,Accept,1.75,0.85,-1,2,-2
34,9,3.6,5.4,Accept,1.6,0.83,-1,2,-2
35,6,1.2,4.8,Accept,-0.8,0.31,-1,2,-2
36,12,4.2,7.8,Accept,2.2,0.9,-1,2,-2
37,12,4.2,7.8,Accept,2.2,0.9,-1,2,-2
38,15,6.0,9.0,Accept,4.0,0.98,-1,2,-2
39,6,1.8,4.2,Accept,-0.2,0.45,-1,2,-2
41,18,4.5,13.5,Accept,2.5,0.92,-1,2,-2
45,9,2.7,6.3,Accept,0.7,0.67,-1,2,-2
46,15,1.5,13.5,Reject,-0.5,0.38,-1,2,-2
47,15,5.25,9.75,Accept,3.25,0.96,-1,2,-2
48,15,3.75,11.25,Accept,1.75,0.85,-1,2,-2
49,15,3.0,12.0,Accept,1.0,0.73,-1,2,-2
50,12,4.8,7.2,Accept,2.8,0.94,-1,2,-2
51,9,1.8,7.2,Reject,-0.2,0.45,-1,2,-2
