participant_id,alpha,temperature,learning_rate,success,log_likelihood
1001,83.51137788389606,0.01,0.01,True,3.600000297685338e-09
1002,1.8010576660426831,2.4280949153485096,0.01,True,-19.152493467195512
1003,3.14029561452541,2.8485069814040602,0.0964210593837686,True,-18.679705492367347
1004,2.495293972904985,1.8777130742953938,0.016799454594499948,True,-15.057847819559203
1005,7.477850205718561,6.143988205572744,0.986920709893607,True,-20.116357820185183
1006,4.170509618948188,1.0786561447553882,0.348134645480748,True,-8.419297012120781
1007,0.0,0.01,0.01,True,3.600000297685338e-09
1008,1.4153047908398253,1.167357929033523,0.02858421273481652,True,-13.23505559765744
1009,0.0,0.010000000000000106,1.20254160153587,True,3.600000297685338e-09
1010,10.853789164167669,5.058588945337327,1.1812474113480338,True,-16.041938831215358
1011,10.19495739586574,4.111040080501409,0.19382213626295883,True,-16.5363236550225
1012,16.8963314883234,7.776916600601819,0.01,True,-8.385897851022078
1013,13.843714831494799,5.3505735998357755,0.2010285282052249,True,-16.081643456048855
1015,0.0,0.01,0.46171099627963325,True,3.600000297685338e-09
1016,0.0,0.01000000000000001,0.01,True,3.600000297685338e-09
1017,0.0,0.01,0.01,True,3.600000297685338e-09
1018,0.0,0.01,1.0421935063928593,True,3.600000297685338e-09
1019,0.6234770210792452,0.2907622092394778,0.01,True,-3.692249357769782
1020,0.6506949377018778,0.7590764613697343,0.0742180516091657,True,-6.974326832244506
1021,0.0,0.01,0.01,True,3.600000297685338e-09
1022,2.9828955096909193,2.805027024618645,0.07237153812959032,True,-19.02898374666442
1023,1.4194908081835562,0.40716339055251066,0.18234356736144408,True,-5.630637121889105
1024,5.423953696197291,0.6666324934547424,0.054493269078623806,True,-3.8360536773585405
1025,5.004931933703872,1.7956524697091676,0.1966953629101341,True,-13.157764043706194
1026,2.002467297726946,3.970400808718335,0.01,True,-21.72692865155817
1027,1.791410474926018,1.7588572834806164,0.037116233123099425,True,-16.88591276124614
1028,2.128755692209212,1.4116047635315074,0.057585694955752026,True,-13.261774874471367
1029,100.0,7.163881930904833,0.6819885069609457,True,-11.382082357947716
1030,0.32823526698877764,0.6312552085558879,2.0,True,-6.323059697255522
1031,0.5340018276039211,1.7640309474674298,0.01,True,-17.001708398829464
1032,0.0,0.01,0.01,True,3.600000297685338e-09
1033,47.601283978669265,9.353224786256197,1.313311024696828,True,-16.216202747490133
1034,2.2773417843149257,1.7519402790393805,0.01,True,-15.596073828023538
1035,22.726734112981152,8.474258158924117,0.33828040968476847,True,-18.22290369842695
1036,0.0,0.01,1.5699431426069275,True,3.600000297685338e-09
1037,0.48446596090896454,1.6618945138756178,1.9570245769168035,True,-15.141205396459476
1038,1.3649180157508551,0.7596857366366421,0.03389507397216024,True,-9.975299022587215
1039,6.209102161378717,3.7780689132563725,0.34596169437681173,True,-18.871258779133353
1040,1.650652691799049,2.278540802494069,0.05911911099139915,True,-18.08644206690625
1041,0.1879595184709099,1.061724262274984,0.01,True,-9.575470122724841
1042,4.747339965382961,2.6601008924491643,0.22399427670077532,True,-16.08682832940813
1043,8.832088745893873,7.90662662094913,0.01,True,-14.633438716191288
1044,0.06690563903163124,0.8044579799525362,1.9800221833406484,True,-7.3475742608043495
2001,1.5354409936548101,0.9851275828922509,0.01,True,-12.100172650561737
2002,41.2967879329171,10.0,0.4514164340021545,True,-30.917838624820234
2003,0.924171149002352,1.4090236675044865,0.03580522129517627,True,-14.671457699274498
2004,11.668753676734402,2.2839931784384477,0.29364498955269414,True,-10.715434184666025
2005,11.838734693533114,10.0,0.986986170684231,True,-21.452718307681387
2006,10.799169012419691,10.0,0.41716518612125425,True,-21.827852024857872
2007,1.5793809918041342,4.18728012947721,0.022270822861000693,True,-22.600516188188543
2008,1.4580683360028395,1.6220259432756052,0.06043314589773101,True,-15.548800580767153
2009,51.02283150298481,10.0,0.06659907850592535,True,-11.192481020303498
2010,5.192906178907834,1.8891849961683769,0.7402246122011443,True,-12.010017305395097
2011,3.130331593213512,2.512723406094003,0.11228364616158558,True,-16.35789087369086
2012,7.549989783460441,10.0,0.10609027795065946,True,-22.79922838880578
