participant_id,alpha,temperature,initial_k,success,log_likelihood
1001,20.0,0.8011531417453936,50.0,True,-0.8784864698800664
1002,1.9800316991517024,2.7770642458839214,50.0,True,-19.660865613682276
1003,2.8669985725650977,2.6684168861279502,5.0,True,-18.37746893229004
1004,2.4866214550285353,1.8693885847182827,47.76732964262334,True,-15.093489935235198
1005,2.569028005687334,3.889610203656895,50.0,True,-20.68644167073744
1006,2.156076182844307,0.7491712407930788,6.783310766322625,True,-9.33923074227536
1007,0.001,0.01,40.54601350376153,True,3.600000297685338e-09
1008,1.368370932277699,1.1583732878928985,31.49065424863672,True,-13.377002544921691
1009,0.001,0.01,22.917473442258128,True,3.600000297685338e-09
1010,3.2781637078286487,2.959923109552819,50.0,True,-16.60839636022701
1011,2.603055054597365,2.300552908918766,50.0,True,-16.33595911989321
1012,20.0,9.700312346282871,50.0,True,-9.797045197095716
1013,2.9374942371592643,2.245555793268304,50.0,True,-15.193492947348071
1015,0.001,0.01,25.529233909143837,True,3.600000297685338e-09
1016,0.001,0.01,17.428550128023883,True,3.600000297685338e-09
1017,0.001,0.01,5.0,True,3.600000297685338e-09
1018,0.001,0.010000000000000012,33.915869633419724,True,3.600000297685338e-09
1019,0.6422630455270487,0.3344624631050993,50.0,True,-3.8553275115714087
1020,0.5744941559684664,0.7860167605160482,11.140899898126287,True,-7.436201721708141
1021,0.001,0.01,17.028202440907126,True,3.600000297685338e-09
1022,3.0654357089916995,2.827775761013242,5.056189742304997,True,-18.900130738394804
1023,1.0186084474564492,0.6111062498311952,5.0,True,-7.043979848771728
1024,5.618076957572929,0.9719696861168866,9.975849557389918,True,-4.78244114754246
1025,3.2353135181756065,1.7568518702313705,5.0,True,-14.274593426281111
1026,2.2191545405423194,4.33278113135334,50.0,True,-21.852029374704955
1027,1.6667808260768011,1.772203350827853,23.588557213744366,True,-17.181449201628062
1028,1.724619992925227,0.554970526051601,50.0,True,-7.7408993969518285
1029,5.636682111475024,4.306490325631298,50.0,True,-15.071838149100465
1030,0.44570669374176963,1.1153573090425897,5.0,True,-10.109969478785448
1031,0.5481054436472862,1.824638433878217,50.0,True,-17.06234014876164
1032,0.001,0.01,21.812201074560864,True,3.600000297685338e-09
1033,20.0,0.5286953631507149,50.0,True,-1.7351413218010054
1034,2.5295622180723156,2.0131126866673403,50.0,True,-16.282465249303094
1035,3.0445692814221608,1.8347369275456862,50.0,True,-13.59699278777235
1036,0.001,0.01,44.91871195084185,True,3.600000297685338e-09
1037,1.3343192067696876,0.49652996724493353,24.962873427696103,True,-7.9204279659253265
1038,1.3362429077128088,0.7497702371320494,22.520053890941366,True,-10.074155664415377
1039,2.8439826182608154,2.849550100074632,14.999964155580061,True,-19.0309416694671
1040,1.4980106956221222,2.2307185915235705,14.113846214598572,True,-18.350835484006623
1041,0.17974575482622124,1.0876908317722167,50.0,True,-9.6180013270796
1042,2.433009360664323,2.08705243394728,9.60382364136589,True,-16.564614079606557
1043,8.675957630741564,6.801078983765241,50.0,True,-14.731481961197517
1044,0.001,1.0694348271853784,5.0,True,-7.748347668057428
2001,1.6683795805005361,1.0430575907006716,50.0,True,-12.136569782106928
2002,1.394050110043251,1.2380299460008428,50.0,True,-14.551534208852122
2003,0.806011661444603,1.3114963097047627,50.0,True,-14.753005773894639
2004,3.1772543538169047,1.1871052754901852,14.017671174030834,True,-10.028640246523059
2005,2.7030371044301447,3.3272331203593684,50.0,True,-19.32308583029844
2006,3.4179671236202775,5.75296827493951,50.0,True,-21.24007803587799
2007,1.5695722410868886,4.317347553939152,35.499920351544674,True,-22.693417928617894
2008,1.5231946484672525,1.6399966409145714,7.6666299993961005,True,-15.641300196961629
2009,15.725296231045881,6.264930964274606,50.0,True,-8.561272695682156
2010,1.6999290192227896,1.696579033205702,50.0,True,-16.41870745343884
2011,2.6175513086858353,2.532465716787734,5.0,True,-17.299960703213376
2012,4.4511493258547965,10.0,17.214019273317177,True,-23.616893040265733
2013,10.333016512039833,4.697293410750847,6.666688596713007,True,-14.321413937504522
2014,5.235687586890569,3.040023069789845,50.0,True,-12.783269450666916
2015,0.001,1.7577020434378887,21.37006180241574,True,-13.683683097096768
2016,18.44191724250729,2.0724025621720035,50.0,True,-3.2147037392704902
2017,0.5526906455926094,1.2508172462866247,33.486276208923016,True,-13.178722945294858
2018,1.9968147647381533,2.424395500174664,12.333327172968977,True,-18.56746768216881
2019,2.229200651054264,2.6330051156530967,50.0,True,-18.973718821843438
2020,20.0,0.01,50.0,True,-1.1477986949864986e-07
2021,3.5107936278150835,2.9160552045405472,10.675995836239268,True,-17.341923806658336
2022,5.668325106872946,1.7888559529693677,50.0,True,-8.64181174194395
