iteration,true_alpha,true_temperature,true_initial_k,recovered_alpha,recovered_temperature,recovered_initial_k
0,5.051252525252526,3.7649358067924674,333.3333333333333,5.312542561609739,5.909456395530408,848.0178126201096
0,10.10150505050505,0.49770235643321115,747.4747474747475,13.754901740724002,0.01,141.05575512034065
0,20.0,0.464158883361278,565.6565656565656,19.30049997346365,0.01,198.03942167761176
0,6.869343434343435,0.23101297000831603,797.9797979797979,7.983792846929176,0.010000000000000037,426.4473117501788
0,14.545727272727271,0.13219411484660293,828.2828282828282,15.881047439908533,0.04284268491569086,249.32232219038275
0,3.435171717171717,0.5722367659350217,585.8585858585858,2.815640780891094,0.4205231851790324,1000.0
0,9.091454545454544,0.43287612810830595,626.2626262626262,19.586961886515848,0.01,513.6815581341325
0,16.161808080808083,0.06135907273413173,282.8282828282828,13.46772998582871,0.01,789.7975148834097
0,10.30351515151515,0.03511191734215131,121.2121212121212,5.736195262646771,0.01,833.0365181149483
0,20.0,0.20092330025650468,868.6868686868686,15.586589874341186,0.01,63.55893896017483
0,11.111555555555555,5.72236765935022,606.060606060606,7.114569580737789,2.3818184793731016,399.32657180513723
0,1.213060606060606,0.533669923120631,717.1717171717171,1.1306280674113778,0.5624844832328831,1000.0
0,14.141707070707069,0.014174741629268055,101.01010101010101,14.941282064791759,0.01,909.3194977929938
0,4.445222222222222,0.021544346900318846,363.6363636363636,4.15519242488492,0.01,311.5413560328319
0,2.02110101010101,0.13219411484660293,767.6767676767677,2.280794449875901,0.01,516.0840199766695
0,19.7979898989899,0.14174741629268056,20.2020202020202,3.447888642387325,1.1228832306356242,597.5685916030299
0,19.191959595959595,10.0,424.2424242424242,5.081657254456759,3.05703817380461,509.3631279723892
0,5.051252525252526,0.10722672220103231,535.3535353535353,5.536691061239888,0.01,770.9773813794028
0,10.505525252525251,0.012328467394420659,181.8181818181818,18.53973709061193,0.01,962.163428744669
0,13.333666666666666,0.04328761281083057,616.1616161616162,17.46722508340635,0.01,79.42859792093486
0,1.011050505050505,0.013219411484660288,151.5151515151515,0.8416407745161473,0.01,901.5838493122876
0,0.203010101010101,4.037017258596554,101.01010101010101,1.8160908661841713,3.145903762948917,1.0
0,18.383919191919194,0.5722367659350217,363.6363636363636,12.264461023960695,0.01,747.8637461257632
0,3.435171717171717,0.049770235643321115,292.9292929292929,3.5980676900456854,0.01,235.01599347621848
0,14.34371717171717,1.873817422860385,929.2929292929292,20.0,0.01,253.5052815075728
