participant_id,alpha,temperature,initial_k,success,log_likelihood
1001,20.0,0.01,494.3434875861219,True,3.600000297685338e-09
1002,1.4909190919152975,1.9981389201881257,871.7931649659221,True,-17.49915394084202
1003,1.4887243762015312,1.069322709700372,428.7576422478561,True,-12.231760919478441
1004,2.7213821999169028,1.3574292428623624,40.58253237526141,True,-10.832313946364991
1005,1.991872152964993,1.309056425724806,994.5238857783845,True,-12.506102682025096
1006,2.5557124593907363,0.8908987672312282,3.3485437335711197,True,-7.927234169360398
1007,0.001,0.010000000000000125,61.020114216881026,True,3.600000297685338e-09
1008,1.2776709911324364,0.9858340491362433,31.51018848787157,True,-11.011893883425047
1009,0.001,0.010000000000000203,338.3754809082966,True,3.600000297685338e-09
1010,2.307818764530274,1.2533133659006641,443.0611167803471,True,-11.145891469547545
1011,1.8564040418919565,0.4227847325837624,887.6520427000838,True,-5.3424384935746465
1012,8.486336569785262,2.606080820563923,1000.0,True,-5.377408883038875
1013,2.080860437004696,1.206517306865872,1000.0,True,-11.51763931296547
1015,0.001,0.01,961.1119349586878,True,3.600000297685338e-09
1016,0.001,0.01,78.52454419835524,True,3.600000297685338e-09
1017,0.001,0.01,132.7303502633228,True,3.600000297685338e-09
1018,0.001,0.01,155.87984073353687,True,3.600000297685338e-09
1019,1.253419029675221,0.3464281916497895,1.0,True,-2.528153186769445
1020,0.4145600831617255,0.5018416059486366,515.5583484358444,True,-6.012714411910682
1021,0.001,0.01,672.9518075949865,True,3.600000297685338e-09
1022,1.3568405453437933,1.7264139653461168,973.9098115983608,True,-16.69592039639511
1023,0.42351956344829794,0.7056698020394481,916.0006871825583,True,-8.511057561302467
1024,2.108504059827618,2.021169475553492,584.4245682334324,True,-15.434148038427933
1025,1.2938066313096814,1.781522310414354,335.87104827359525,True,-17.174415029918663
1026,1.7566148458066386,1.9669760235311715,990.9855970611131,True,-16.54466745143401
1027,1.6010834224561148,1.4149756132741844,30.04828937658164,True,-14.445698992238366
1028,1.3339084981344642,0.9677441714691172,268.44293289944454,True,-11.59410618473077
1029,3.166239235344608,0.5883219368653119,968.6785720505092,True,-5.43227521605107
1030,0.37622029745072116,0.934694891814502,79.52442963731717,True,-9.046639093479714
1031,0.5157550814594212,1.5316935882610916,908.4763675062534,True,-16.041512016134195
1032,0.001,0.010000000000000182,259.1171136058756,True,3.600000297685338e-09
1033,20.0,0.01,934.7221410886318,True,3.600000297685338e-09
1034,1.7963964429113826,3.0382889024682282,943.7220631643651,True,-19.578793205873943
1035,3.139301765135902,1.5783841004293306,49.27247485750165,True,-12.106492761323501
1036,0.001,0.01,897.8253025292036,True,3.600000297685338e-09
1037,0.8348117965527325,1.0243882437850134,448.99868333314146,True,-12.748060949449199
1038,1.438863487985887,0.27185772689009297,14.206125095961411,True,-4.961089907708396
1039,1.6280974652181988,1.635045328814453,974.5293854993845,True,-15.45483768554931
1040,0.9305635348921161,1.8985433365611346,131.01925008840695,True,-18.175010051811864
1041,0.1259248626941267,1.0991721549428488,745.580533714644,True,-9.630917744736982
1042,2.246483261180237,2.1322694463738627,9.613440474146598,True,-16.528522382469735
1043,6.0054847664803415,4.488363087312184,117.69316982587803,True,-13.2995582426944
1044,0.001,1.0689760480290078,103.96713783567017,True,-7.749345170969401
2001,1.6480283318344615,1.7071115543715776,28.970285128113705,True,-15.274431036112883
2002,3.730869605362739,1.4269462026723063,1.3451993013198404,True,-11.228991268237289
2003,0.5572678404024372,1.505011500783871,165.75586294441408,True,-15.784729413643262
2004,3.5505575416512376,1.7675789109623914,8.332262870016173,True,-12.273898405505324
2005,2.0003954698596687,3.109298109271005,1000.0,True,-19.08647429255476
2006,2.324787945523641,1.7448288578520996,958.6764124297846,True,-13.700152252449213
2007,0.9707451207725527,4.608421521333409,651.4395110255108,True,-23.163792713224268
2008,0.7950754986023062,1.6201977989965362,86.39956853958547,True,-16.656441304083685
2009,10.486156365769379,6.719086307726853,1000.0,True,-10.023909970140448
2010,1.2421173238208756,2.075135181496259,173.91373748851666,True,-18.37558473470283
2011,0.8188897948327991,2.798672893810037,177.99944369324626,True,-20.967387934621637
2012,2.898034465115372,5.370309991627115,389.0560910013598,True,-20.11209567260241
2013,2.6503138590753927,0.7154310740751118,972.3105747572115,True,-7.038332597507241
2014,3.350931190052171,1.2444295342928966,398.6194772268162,True,-8.966683144308758
2015,0.001,1.7575108904852053,122.81462446425799,True,-13.68626696134358
2016,8.830109223708261,2.092499263286516,391.7890182632719,True,-4.211019120776246
2017,0.24706374792362415,1.5272561328825571,355.4953211020087,True,-14.359523769955207
2018,0.9458315857749701,2.294581428884083,627.5171786804692,True,-19.738972168293802
2019,1.6215569768720937,1.8938894283157566,1000.0,True,-16.695844999472072
2020,11.718984808454325,0.01,735.5259701532347,True,3.600000297685338e-09
2021,1.6698801574778712,2.2804156735751127,438.8217435204691,True,-18.00772457355141
2022,3.652859249131847,0.7894194889498948,364.7113732059129,True,-6.441140579891131
2023,1.1851920426153113,1.3244858685170746,990.9405373006666,True,-14.79580569677869
2024,0.4533533695197331,0.7167531671993981,3.425469186601005,True,-6.8315386168075465
2025,0.3476652234475783,1.0863515324483395,969.2520171729414,True,-11.765934286484423
2026,4.747390531261902,1.307601773069418,1.6454193830987671,True,-9.016511773491317
2027,0.001,1.4737295622039814,285.21554201853513,True,-11.54144626929703
2028,9.726625487885475,2.465877079320805,159.59564310150918,True,-4.976332154034936
2029,20.0,2.919037902573643,22.699941775609556,True,-5.781134703089317
2030,1.399711892797354,1.259488949706474,1000.0,True,-13.816886639233335
