participant_id,alpha,temperature,success,log_likelihood
1001,10.0,10.0,True,-17.50471867954262
1002,1.5492741711553146,10.0,True,-35.998483524474985
1003,1.201914794095033,10.0,True,-36.671334190593484
1004,2.1495503278036012,10.0,True,-34.32276241516842
1005,1.7253290943207074,10.0,True,-36.3652944502319
1006,0.8310153727474447,10.0,True,-36.21997785086031
1007,0.0,8.649058239536203,True,-33.82456191723834
1008,0.6187727521155593,10.0,True,-36.504572674470175
1009,0.0,8.649120241955124,True,-33.82456191732023
1010,2.543061473592818,10.0,True,-33.64776652179303
1011,2.1167694060112465,10.0,True,-34.33074980701979
1012,9.119576801876303,10.0,True,-21.43467515167655
1013,2.5236848653673847,10.0,True,-33.438767308315455
1015,0.0,8.649090686450366,True,-33.8245619172626
1016,0.0,8.649033250332895,True,-33.8245619172475
1017,0.0,8.64911227597892,True,-33.82456191730136
1018,0.0,8.649055053188022,True,-33.82456191723817
1019,0.0,10.0,True,-34.57127025188368
1020,0.0,10.0,True,-34.67627025186108
1021,0.0,8.649036124522787,True,-33.82456191724521
1022,1.1551131913084698,10.0,True,-36.872749909698335
1023,0.0,10.0,True,-34.916270251812506
1024,2.968877889180412,10.0,True,-31.84808942542979
1025,1.3339458528975885,10.0,True,-36.08805953689698
1026,1.4207872489272884,10.0,True,-37.04385522510206
1027,0.787992655846117,10.0,True,-36.977115032795446
1028,1.602282617612828,10.0,True,-34.69939977857637
1029,4.087963351307957,10.0,True,-29.556399796155805
1030,0.0,10.0,True,-34.81127025183409
1031,0.0,10.0,True,-36.16127025155517
1032,0.0,8.649063294336962,True,-33.82456191723944
1033,10.0,10.0,True,-17.50471867954262
1034,2.39234102321152,10.0,True,-33.60982207041074
1035,2.78906735144302,10.0,True,-32.50876317714353
1036,0.0,8.64900596640214,True,-33.8245619172852
1037,0.5251471764506219,10.0,True,-36.193981831860285
1038,0.2886264838060196,10.0,True,-36.219588971575796
1039,1.4715248098717073,10.0,True,-36.51032489736502
1040,0.3398674649798638,10.0,True,-37.29745227390598
1041,0.0,10.0,True,-34.63127025186885
1042,0.9622613868247205,10.0,True,-36.91729274633974
1043,4.36740312768331,10.0,True,-29.464150080543448
1044,0.0,10.0,True,-34.39127025191489
2001,1.4082323453277752,10.0,True,-35.45129040364289
2002,0.8635058411811588,10.0,True,-36.39872589805015
2003,0.0,10.0,True,-36.14627025156239
2004,1.7961650801521705,10.0,True,-34.67620548684331
2005,2.166107379542667,10.0,True,-34.843027831008044
2006,2.1167690284156566,10.0,True,-35.530749806740694
2007,0.6817499942008528,10.0,True,-38.24753302308382
2008,0.10386484823996929,10.0,True,-36.745608977461515
2009,8.2994469571915,10.0,True,-22.237597758364746
2010,1.3339457169811315,10.0,True,-35.938059536934254
2011,0.49412149937781386,10.0,True,-37.484848348146336
2012,1.358509852257451,10.0,True,-38.677287132416026
2013,3.1385760328830146,10.0,True,-32.00202484941262
2014,4.203796477831531,10.0,True,-29.13831221307128
2015,0.0,10.0,True,-35.21627025174718
2016,10.0,10.0,True,-19.424718678875188
2017,0.0,10.0,True,-35.4262702517068
2018,0.7240399261853797,10.0,True,-37.203188075566594
2019,1.711382266357477,10.0,True,-35.68184503707613
2020,10.0,10.0,True,-17.504718679542624
2021,1.7253274813555548,10.0,True,-35.76529445018374
2022,5.531750438946003,10.0,True,-25.89680300830155
2023,1.3708677284367026,10.0,True,-35.47134659684794
2024,0.0,10.0,True,-34.54127025188874
2025,0.0,10.0,True,-35.141270251763814
2026,1.0745894084433574,10.0,True,-36.011839333275155
2027,0.0,10.0,True,-34.87127025181623
2028,8.892857893725472,10.0,True,-21.719819653164752
2029,9.364321297773683,10.0,True,-20.842464455330386
2030,1.3957289511467224,10.0,True,-35.95834969642241
2031,0.0,10.0,True,-35.66627025166022
2032,1.097426842038115,10.0,True,-37.716679522598746
2033,0.6397094982451828,10.0,True,-36.2868184406886
2034,0.0,10.0,True,-34.40627025191525
2035,9.920555813213284,10.0,True,-21.884410103876952
2036,0.0,10.0,True,-37.856270251210354
2037,10.0,10.0,True,-17.504718679542627
2038,1.0405757801402569,10.0,True,-37.65201962415398
2039,0.0,10.0,True,-34.90127025181177
2040,8.299447527409376,10.0,True,-22.687597758271707
2041,1.6291598673733774,10.0,True,-34.72245768809332
2042,0.10386490174059172,10.0,True,-38.69560897705444
2043,10.0,10.0,True,-18.94471867914425
2044,0.09355591141950735,10.0,True,-37.06357023469818
2045,3.5504360000969335,10.0,True,-32.3747357957753
2046,0.0,10.0,True,-34.271270251943456
2047,1.7253274938421268,10.0,True,-34.565294450664915
2048,0.0,10.0,True,-37.226270251337716
