participant_id,lambda,tau,temperature,success,log_likelihood,ID,group
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1002,20.0,0.5,9,True,-35.806489795006456,1002,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
1003,20.0,0.5,9,True,-35.273156461781845,1003,Control
