participant_id,alpha,temperature,initial_k,success,log_likelihood
1001,10.0,9.209342057864317,20.0,True,-26.584152043660513
1002,6.747453157885991,10.0,0.1,True,-36.02254125668011
1003,5.538725619247258,10.0,0.1,True,-35.31241613264601
1004,9.676851866763506,10.0,0.1,True,-32.50020057877221
1005,6.335971247287661,10.0,1.3528653747590977,True,-36.154166083374506
1006,6.72694970292397,10.0,0.8911192011299026,True,-33.59786510991125
1007,0.0,8.649143389393064,0.8533340886802862,True,-33.82456191738902
1008,4.245306512833314,10.0,4.666666608158421,True,-35.18765448585074
1009,0.0,8.649202957560542,0.7029634539922706,True,-33.82456191766163
1010,8.249967895817159,10.0,20.0,True,-32.46030795680998
1011,10.0,10.0,0.1,True,-32.06577958412854
1012,10.0,10.0,20.0,True,-28.250734893247305
1013,10.0,10.0,1.000000101597372,True,-31.174748626061383
1015,0.0,8.649202858572306,0.8914368147975773,True,-33.82456191766108
1016,0.0,8.649123898950277,0.7998562236912209,True,-33.82456191732972
1017,0.0,8.649197938665289,0.8581718779052273,True,-33.82456191763335
1018,0.0,8.649196704970672,0.8926939096621053,True,-33.82456191762656
1019,0.0,10.0,0.1,True,-34.57127025188368
1020,0.0,10.0,1.373920274795848,True,-34.67627025186108
1021,0.0,8.64919476130107,0.8133144675360175,True,-33.82456191761596
1022,5.177431506280953,10.0,0.48063382029557744,True,-35.82977846294465
1023,0.0,10.0,0.5274196760747214,True,-34.916270251812506
1024,10.0,9.507646328299744,6.845068596037457,True,-28.036512890207266
1025,8.557200101297047,10.0,0.1,True,-33.68921667481206
1026,5.814757767902251,10.0,0.1,True,-36.73677247793265
1027,4.051237434721315,10.0,2.8568867852257465,True,-35.950071553442186
1028,10.0,8.82517349282465,0.1,True,-29.823758393805964
1029,10.0,10.0,20.0,True,-30.371768578876193
1030,0.0,10.0,1.0917509629400168,True,-34.81127025183409
1031,0.0,10.0,0.9665868591626009,True,-36.16127025155517
1032,0.0,8.649208554392741,0.8199938229052206,True,-33.824561917694325
1033,10.0,8.994127266681014,20.0,True,-26.21869840043236
1034,10.0,10.0,0.1,True,-32.806474610886205
1035,10.0,10.0,2.500000026645332,True,-30.722608227298238
1036,0.0,8.64917378159024,0.8454490454934255,True,-33.82456191751092
1037,3.347500484049726,10.0,2.333333520211107,True,-35.17075347872139
1038,3.033583101967494,10.0,0.6666666200547657,True,-35.320639674688515
1039,6.3441967873748135,10.0,1.8460555307829838,True,-35.227482954584474
1040,2.3173234642370466,10.0,5.526279805319613,True,-36.6585918583329
1041,0.0,10.0,0.9317097372503341,True,-34.63127025186885
1042,5.558357988736044,10.0,0.1,True,-35.217797852716586
1043,10.0,10.0,20.0,True,-30.355600768280183
1044,0.0,10.0,0.7585902618856285,True,-34.39127025191489
2001,8.28260276390974,10.0,1.4811319242196357,True,-33.09320560992351
2002,7.004473931495272,10.0,0.1,True,-33.97650075847521
2003,1.1480889147489175,10.0,2.372836656950538,True,-35.994846716383115
2004,10.0,10.0,0.1,True,-30.314725509011307
2005,10.0,10.0,0.1,True,-34.386987755559474
2006,7.70774912999111,10.0,0.1,True,-35.79032122590149
2007,2.169119793734582,10.0,20.0,True,-38.01985075046279
2008,2.4608488340624977,10.0,1.4999999375247464,True,-36.10166456043932
2009,10.0,10.0,20.0,True,-27.36755327206707
2010,6.939979879024186,10.0,0.1,True,-34.05501777418744
2011,4.628118822476446,10.0,1.3333331419803172,True,-35.702876653134986
2012,3.9378933915003103,10.0,20.0,True,-38.37185970858651
2013,10.0,10.0,9.957967175493955,True,-30.464500022623035
2014,10.0,10.0,20.0,True,-28.802344224819215
2015,0.0,10.0,0.9852889230866028,True,-35.21627025174718
2016,10.0,9.178773857162309,20.0,True,-26.735030510400954
2017,0.0,10.0,0.4273826128619797,True,-35.4262702517068
2018,4.676722940071167,10.0,1.99999996895299,True,-35.86512190539841
2019,7.724919975325841,10.0,0.327867236147789,True,-35.0244587938791
2020,10.0,9.342819618421661,20.0,True,-26.54947208510043
2021,7.134145603008816,10.0,4.999999979678666,True,-34.19588195744052
2022,10.0,9.67890422674727,20.0,True,-27.020495566707687
2023,7.63004431963563,10.0,0.1,True,-33.751824488957695
2024,0.0,10.0,0.9731159048791133,True,-34.54127025188874
2025,0.0,10.0,1.0096434860797916,True,-35.141270251763814
2026,8.876508477170772,10.0,0.1,True,-32.00968480192181
2027,0.0,10.0,1.1052768545439948,True,-34.87127025181623
2028,10.0,8.728418285149452,20.0,True,-26.32533208458439
2029,10.0,8.498835837737415,20.0,True,-25.903185707647804
2030,10.0,10.0,0.1,True,-33.68017920106812
2031,0.0,10.0,0.1,True,-35.66627025166022
2032,4.893313957365838,10.0,0.9999999919095396,True,-36.65722200142351
2033,3.9308518701006205,10.0,8.068317741036653,True,-34.92469111735868
2034,0.0,10.0,1.0033111289807006,True,-34.40627025191525
2035,10.0,10.0,20.0,True,-29.38133380695605
2036,0.7492444890934927,10.0,5.5000528788152225,True,-37.76922589661751
2037,10.0,9.32003180315164,20.0,True,-26.97585577323333
2038,3.7415522647459274,10.0,10.9921971741065,True,-36.91156522640954
2039,0.0,10.0,1.0532892844170747,True,-34.90127025181177
2040,10.0,10.0,20.0,True,-28.25558025403717
2041,10.0,10.0,1.3256690579366217,True,-30.701344772183216
2042,0.8868282944818122,10.0,7.500000328015924,True,-38.5812270514906
2043,10.0,10.0,20.0,True,-28.35025652099152
2044,2.021544444388779,10.0,0.1,True,-36.598035644897145
2045,10.0,10.0,19.999999999999996,True,-32.062634738942755
